gender,Race,Education,totalyearlycompensation
Male,White,Bachelor's Degree,270000
Male,Asian,Master's Degree,315000
Female,Asian,Master's Degree,165000
Male,Asian,Bachelor's Degree,280000
Male,White,Highschool,226000
Male,Asian,Master's Degree,63000
Other,Asian,Bachelor's Degree,143000
Male,Asian,Bachelor's Degree,180000
Male,Asian,Master's Degree,283000
Male,Asian,Bachelor's Degree,82000
Male,Asian,Bachelor's Degree,49000
Male,Hispanic,Bachelor's Degree,140000
Male,Asian,Master's Degree,70000
Male,Asian,Bachelor's Degree,240000
Male,White,Bachelor's Degree,392000
Male,Asian,Master's Degree,88000
Male,Asian,Master's Degree,160000
Male,White,PhD,304000
Male,Two Or More,Master's Degree,184000
Male,Two Or More,Master's Degree,115000
Male,Black,Master's Degree,369000
Male,Asian,Bachelor's Degree,267000
Male,Asian,Master's Degree,178000
Male,Asian,Bachelor's Degree,200000
Male,Asian,Master's Degree,210000
Male,White,Master's Degree,94000
Male,White,Highschool,42000
Male,White,Master's Degree,22000
Male,White,Bachelor's Degree,24000
Male,Asian,Master's Degree,247000
Male,Asian,Master's Degree,275000
Male,Asian,Bachelor's Degree,120000
Male,White,Bachelor's Degree,145000
Male,Hispanic,Bachelor's Degree,85000
Male,White,Master's Degree,215000
Male,Asian,Bachelor's Degree,213000
Male,White,Master's Degree,106000
Male,Asian,Bachelor's Degree,196000
Male,White,Bachelor's Degree,49000
Male,Hispanic,Highschool,73000
Female,White,Bachelor's Degree,77000
Male,White,Bachelor's Degree,125000
Male,White,Bachelor's Degree,147000
Male,Asian,Bachelor's Degree,142000
Male,Asian,Bachelor's Degree,270000
Female,Asian,Bachelor's Degree,320000
Male,Asian,Master's Degree,161000
Male,Asian,Bachelor's Degree,80000
Male,White,Master's Degree,50000
Male,White,Bachelor's Degree,172000
Male,Asian,Bachelor's Degree,115000
Male,Asian,Bachelor's Degree,238000
Female,Asian,PhD,180000
Male,Asian,Bachelor's Degree,113000
Male,Asian,Bachelor's Degree,400000
Male,Asian,PhD,396000
Male,White,Master's Degree,445000
Male,Asian,Bachelor's Degree,231000
Female,Asian,Bachelor's Degree,166000
Male,Two Or More,Bachelor's Degree,87000
Male,Asian,Bachelor's Degree,35000
Male,Asian,Master's Degree,157000
Female,Two Or More,Bachelor's Degree,185000
Male,Asian,Master's Degree,225000
Female,Asian,Bachelor's Degree,92000
Female,Asian,Bachelor's Degree,107000
Male,Asian,Bachelor's Degree,247000
Female,Two Or More,Bachelor's Degree,184000
Male,Asian,Master's Degree,380000
Male,Asian,Master's Degree,138000
Male,Asian,Bachelor's Degree,350000
Male,Asian,Bachelor's Degree,355000
Male,Asian,Master's Degree,240000
Male,White,PhD,195000
Female,White,Bachelor's Degree,99000
Male,Asian,Master's Degree,279000
Female,Asian,Master's Degree,164000
Male,Asian,Master's Degree,256000
Female,Black,Bachelor's Degree,377000
Male,Asian,Bachelor's Degree,216000
Male,Asian,Master's Degree,122000
Male,White,Bachelor's Degree,94000
Male,White,Bachelor's Degree,150000
Male,Asian,Master's Degree,141000
Male,White,Bachelor's Degree,330000
Male,Asian,Bachelor's Degree,207000
Male,Asian,Bachelor's Degree,240000
Male,Asian,Bachelor's Degree,140000
Male,Asian,Bachelor's Degree,116000
Male,White,Bachelor's Degree,136000
Male,Asian,Bachelor's Degree,33000
Male,Asian,Master's Degree,320000
Male,Asian,PhD,241000
Male,White,Bachelor's Degree,143000
Male,Hispanic,Bachelor's Degree,179000
Male,Two Or More,Master's Degree,64000
Male,Asian,Master's Degree,364000
Male,Asian,PhD,505000
Male,Asian,Master's Degree,140000
Male,White,Bachelor's Degree,165000
Female,Asian,Bachelor's Degree,195000
Female,Asian,Bachelor's Degree,116000
Male,Asian,Master's Degree,133000
Male,Asian,Master's Degree,189000
Male,Asian,Bachelor's Degree,40000
Male,White,Bachelor's Degree,170000
Male,White,Master's Degree,131000
Male,Asian,Master's Degree,243000
Female,Asian,Master's Degree,230000
Male,Hispanic,Master's Degree,328000
Male,Asian,Master's Degree,235000
Male,Asian,Bachelor's Degree,265000
Male,Black,PhD,162000
Female,Asian,Bachelor's Degree,285000
Male,Asian,Bachelor's Degree,57000
